id,recipe_name,type_of_dish,main_ingredient,cuisine,cooking_method,prep_time,cook_time,instructions
114,Vegetable Soup,Appetizer,Vegetables,American,Simmering,15 minutes,30 minutes,"Sauté onions, carrots, and celery. Add vegetable broth, potatoes, and your choice of vegetables. Simmer until vegetables are tender. Season with herbs and spices."
115,Margherita Pizza,Main Course,Tomatoes,Italian,Baking,15 minutes,15 minutes,Preheat oven to 220°C (425°F). Spread tomato sauce on pizza dough. Top with slices of fresh mozzarella and basil leaves. Bake until crust is golden and cheese is melted.
117,Greek Salad,Side Dish,Cucumber,Greek,Tossing,10 minutes,0 minutes,"Combine diced cucumbers, tomatoes, red onions, olives, and feta cheese in a bowl. Toss with olive oil, lemon juice, oregano, and salt. Serve chilled."
120,Lasagna,Main Course,Pasta,Italian,Baking,30 minutes,45 minutes,"Layer cooked lasagna noodles with ricotta cheese, marinara sauce, and mozzarella cheese. Bake until bubbly and golden brown."
121,Clam Chowder,Appetizer,Clams,American,Simmering,15 minutes,30 minutes,"Cook bacon until crisp. Sauté onions and celery, then add clams, potatoes, and cream. Simmer until potatoes are tender. Season with thyme and pepper."
122,Beef Kabobs,Main Course,Beef,Middle Eastern,Grilling,20 minutes,15 minutes,"Marinate beef chunks in a mixture of yogurt, garlic, and spices. Thread onto skewers and grill until desired doneness. Serve with flatbread and a yogurt dip."
124,Pear Crisp,Dessert,Pear,American,Baking,15 minutes,45 minutes,"Mix sliced pears with sugar and cinnamon. Top with a crumbly mixture of flour, sugar, and butter. Bake until topping is golden and pears are tender."
125,Buffalo Cauliflower,Appetizer,Cauliflower,American,Baking,15 minutes,30 minutes,"Toss cauliflower florets in a mixture of flour, water, and spices. Bake until crispy. Toss with buffalo sauce and serve with ranch dipping sauce."
127,Sweet Corn Soup,Appetizer,Corn,American,Simmering,10 minutes,20 minutes,"Sauté onions and garlic, then add corn kernels and vegetable broth. Simmer until corn is tender. Puree soup and stir in cream. Season with salt and pepper."
129,Chili Cheese Fries,Snack,Potatoes,American,Baking,10 minutes,30 minutes,Bake French fries until crispy. Top with chili and shredded cheese. Return to oven until cheese is melted. Serve with chopped green onions.
144,Stuffed Mushrooms,Appetizer,Mushrooms,American,Baking,15 minutes,20 minutes,"Remove stems from mushrooms and stuff with a mixture of cream cheese, garlic, and herbs. Bake until mushrooms are tender and stuffing is golden."
147,Beef Enchiladas,Main Course,Beef,Mexican,Baking,20 minutes,30 minutes,Fill tortillas with seasoned beef and cheese. Roll up and place in a baking dish. Top with enchilada sauce and more cheese. Bake until bubbly and golden.
150,Fruit Tart,Dessert,Mixed Fruits,French,Baking,20 minutes,30 minutes,"Preheat oven to 180°C (350°F). Bake a tart shell and fill with pastry cream. Top with fresh fruits like strawberries, kiwi, and blueberries. Brush with apricot glaze."
151,Beef Chili,Main Course,Beef,Tex-Mex,Simmering,15 minutes,45 minutes,"Cook ground beef with onions, garlic, and chili spices. Add tomatoes, beans, and beef broth. Simmer until thickened. Serve with cornbread or rice."
152,Vegetarian Burritos,Main Course,Beans,Mexican,Baking,15 minutes,20 minutes,"Fill tortillas with a mixture of beans, rice, vegetables, and cheese. Roll up and place in a baking dish. Top with salsa and bake until heated through."
156,Quiche Lorraine,Main Course,Bacon,French,Baking,20 minutes,30 minutes,"Prepare a pie crust and fill with a mixture of eggs, cream, cheese, and cooked bacon. Bake until set and golden brown."
157,Peach Cobbler,Dessert,Peach,American,Baking,15 minutes,45 minutes,Mix sliced peaches with sugar and cinnamon. Top with a biscuit-like batter and bake until topping is golden and fruit is bubbling.
158,Chicken Tacos,Main Course,Chicken,Mexican,Grilling,15 minutes,10 minutes,"Grill chicken breasts and slice thinly. Serve in tortillas with fresh salsa, lettuce, cheese, and guacamole."
159,Beef Meatballs,Main Course,Beef,Italian,Baking,15 minutes,25 minutes,"Mix ground beef with breadcrumbs, egg, and spices. Form into balls and bake until cooked through. Serve with marinara sauce and pasta."
160,Strawberry Shortcake,Dessert,Strawberries,American,Baking,20 minutes,30 minutes,Bake shortcake biscuits and layer with sweetened strawberries and whipped cream. Serve immediately.
164,Greek Yogurt Parfait,Dessert,Yogurt,Greek,Assembling,5 minutes,0 minutes,Layer Greek yogurt with fresh berries and granola in a glass. Drizzle with honey. Serve immediately.
167,Lasagna Roll-Ups,Main Course,Pasta,Italian,Baking,30 minutes,30 minutes,"Cook lasagna noodles and spread with a mixture of ricotta cheese, spinach, and marinara sauce. Roll up and place in a baking dish. Top with more sauce and cheese, then bake until bubbly."
168,Grilled Vegetable Skewers,Side Dish,Vegetables,Mediterranean,Grilling,15 minutes,15 minutes,"Thread chunks of vegetables (bell peppers, zucchini, mushrooms) onto skewers. Brush with olive oil and season with herbs. Grill until tender and charred."
169,Chicken Cacciatore,Main Course,Chicken,Italian,Simmering,20 minutes,45 minutes,"Sauté chicken with onions, garlic, and bell peppers. Add tomatoes, olives, and herbs. Simmer until chicken is tender. Serve with pasta or crusty bread."
170,Caprese Salad,Appetizer,Tomatoes,Italian,Assembling,10 minutes,0 minutes,Layer slices of fresh tomatoes and mozzarella cheese. Top with basil leaves and drizzle with olive oil and balsamic vinegar.
172,Chicken Potstickers,Appetizer,Chicken,Chinese,Pan-Frying,20 minutes,20 minutes,Mix ground chicken with vegetables and seasonings. Place in dumpling wrappers and fold. Pan-fry until crispy and serve with dipping sauce.
174,Chicken Fried Rice,Main Course,Rice,Chinese,Frying,10 minutes,15 minutes,"Stir-fry cooked rice with chicken, vegetables, and soy sauce. Add scrambled eggs and mix well. Garnish with green onions before serving."
175,Cheese Stuffed Meatballs,Main Course,Beef,Italian,Baking,20 minutes,25 minutes,"Mix ground beef with breadcrumbs, egg, and spices. Form into balls and stuff with cheese. Bake until cooked through and cheese is melted."
177,Beef Empanadas,Main Course,Beef,Latin American,Baking,30 minutes,20 minutes,"Fill pastry dough with a mixture of seasoned ground beef, onions, and spices. Fold into half-moons and bake until golden brown."
178,Fruit Smoothie,Snack,Mixed Fruits,American,Blending,5 minutes,0 minutes,"Blend fresh fruits (such as bananas, berries, and mango) with yogurt and honey until smooth. Serve chilled."
180,Thai Green Curry,Main Course,Chicken,Thai,Simmering,15 minutes,25 minutes,Cook chicken in a green curry paste and coconut milk mixture. Add vegetables like bell peppers and eggplant. Simmer until chicken is cooked and vegetables are tender. Serve with jasmine rice.
184,Spinach Salad,Appetizer,Spinach,American,Assembling,10 minutes,0 minutes,"Toss fresh spinach with sliced strawberries, walnuts, and feta cheese. Drizzle with balsamic vinaigrette."
186,Grilled Portobello Mushrooms,Main Course,Mushrooms,Mediterranean,Grilling,10 minutes,10 minutes,Marinate portobello mushrooms in balsamic vinegar and olive oil. Grill until tender and serve as a main or side dish.
187,Apple Cinnamon Oatmeal,Breakfast,Oats,American,Simmering,5 minutes,10 minutes,"Cook oats with milk or water. Stir in diced apples, cinnamon, and a bit of honey. Cook until apples are tender and oatmeal is creamy."
188,Pulled BBQ Chicken,Main Course,Chicken,American,Slow Cooking,10 minutes,8 hours,Cook chicken breasts with BBQ sauce in a slow cooker for 8 hours. Shred and serve on buns with coleslaw.
190,Banana Bread,Dessert,Bananas,American,Baking,15 minutes,60 minutes,"Mix mashed bananas with flour, sugar, eggs, and baking soda. Pour into a loaf pan and bake until a toothpick comes out clean."
192,Beef and Broccoli Stir-Fry,Main Course,Beef,Chinese,Stir-Frying,15 minutes,10 minutes,Stir-fry sliced beef with broccoli and garlic in a hot pan. Add soy sauce and a bit of sugar. Serve with rice.
196,Blueberry Muffins,Dessert,Blueberries,American,Baking,15 minutes,25 minutes,"Mix flour, sugar, and baking powder with milk, eggs, and blueberries. Bake in muffin tins until golden brown."
197,Peach Smoothie,Snack,Peach,American,Blending,5 minutes,0 minutes,Blend fresh peaches with yogurt and a touch of honey until smooth. Serve chilled.
199,Roast Chicken,Main Course,Chicken,American,Roasting,15 minutes,90 minutes,Season a whole chicken with herbs and spices. Roast in the oven until skin is crispy and chicken is cooked through. Serve with roasted vegetables.
200,Apple Cider Donuts,Dessert,Apples,American,Frying,20 minutes,20 minutes,"Mix flour, sugar, and spices with apple cider. Fry dough in small rounds and coat with cinnamon sugar. Serve warm."
204,Fettuccine Alfredo,Main Course,Pasta,Italian,Sautéing,15 minutes,20 minutes,"Cook fettuccine pasta and toss with a sauce made from butter, cream, and Parmesan cheese. Serve with a sprinkle of parsley."
205,Tomato Basil Soup,Appetizer,Tomatoes,Italian,Simmering,15 minutes,30 minutes,"Cook tomatoes with onions, garlic, and basil. Blend until smooth and stir in cream. Serve hot with a grilled cheese sandwich."
206,Chicken Salad,Appetizer,Chicken,American,Assembling,10 minutes,0 minutes,"Mix shredded chicken with mayonnaise, celery, and herbs. Serve over lettuce or on a sandwich."
210,Apple Cider Glazed Pork Chops,Main Course,Pork,American,Grilling,10 minutes,20 minutes,"Grill pork chops and glaze with a mixture of apple cider, brown sugar, and mustard. Serve with roasted vegetables."
211,Spaghetti Aglio e Olio,Main Course,Pasta,Italian,Sautéing,15 minutes,15 minutes,"Cook spaghetti and toss with sautéed garlic, red pepper flakes, and olive oil. Garnish with parsley and Parmesan cheese."
212,Baked Ziti,Main Course,Pasta,Italian,Baking,20 minutes,30 minutes,Mix cooked ziti pasta with marinara sauce and ricotta cheese. Top with mozzarella cheese and bake until bubbly.
213,Vegetable Lasagna,Main Course,Vegetables,Italian,Baking,30 minutes,50 minutes,"Layer lasagna noodles with a mixture of ricotta cheese, spinach, and marinara sauce. Top with mozzarella cheese and bake until bubbly."
214,Chocolate Chip Cookies,Dessert,Chocolate Chips,American,Baking,10 minutes,15 minutes,"Mix flour, sugar, and butter with chocolate chips. Bake until edges are golden and centers are soft."
215,Balsamic Glazed Chicken,Main Course,Chicken,American,Grilling,15 minutes,15 minutes,"Grill chicken breasts and brush with a glaze made from balsamic vinegar, honey, and Dijon mustard. Serve with steamed vegetables."
217,Chicken Caesar Salad,Appetizer,Chicken,American,Assembling,10 minutes,0 minutes,"Toss romaine lettuce with Caesar dressing, croutons, and grilled chicken. Top with Parmesan cheese."
218,Vegetable Curry,Main Course,Vegetables,Indian,Simmering,15 minutes,30 minutes,"Cook a mix of vegetables in a curry sauce made from onions, garlic, ginger, and coconut milk. Serve with rice or naan."
219,Beef Satay,Appetizer,Beef,Thai,Grilling,15 minutes,10 minutes,Skewer marinated beef strips and grill until cooked through. Serve with a peanut dipping sauce.
221,Chocolate Cake,Dessert,Chocolate,American,Baking,20 minutes,30 minutes,"Mix flour, cocoa powder, sugar, and eggs. Bake until a toothpick comes out clean. Frost with chocolate ganache if desired."
223,Mango Sticky Rice,Dessert,Mango,Thai,Simmering,15 minutes,30 minutes,Cook sticky rice with coconut milk and sugar. Serve with fresh mango slices and a sprinkle of sesame seeds.
224,Garlic Butter Shrimp,Appetizer,Shrimp,American,Sautéing,10 minutes,10 minutes,Sauté shrimp in garlic butter until pink and cooked through. Serve with lemon wedges and chopped parsley.
226,Baked Salmon,Main Course,Salmon,American,Baking,10 minutes,20 minutes,Season salmon fillets and bake until cooked through. Serve with lemon wedges and a side of steamed vegetables.
228,Pancakes,Breakfast,Pancake Mix,American,Griddling,5 minutes,10 minutes,"Mix pancake batter and pour onto a hot griddle. Cook until bubbles form, then flip. Serve with syrup and butter."
230,Potato Gratin,Side Dish,Potatoes,French,Baking,20 minutes,50 minutes,"Layer thinly sliced potatoes with cream, cheese, and garlic. Bake until tender and golden brown on top."
231,Grilled Steak,Main Course,Steak,American,Grilling,15 minutes,15 minutes,Season steak and grill to desired doneness. Serve with a side of grilled vegetables or a fresh salad.
233,Goulash,Main Course,Beef,Hungarian,Simmering,15 minutes,45 minutes,"Cook beef with onions, paprika, and tomatoes. Add potatoes and simmer until beef is tender. Serve with crusty bread."
234,Chickpea Salad,Appetizer,Chickpeas,Mediterranean,Assembling,10 minutes,0 minutes,"Mix chickpeas with diced cucumbers, tomatoes, red onions, and feta cheese. Drizzle with olive oil and lemon juice."
235,Mushroom Risotto,Main Course,Rice,Italian,Simmering,15 minutes,30 minutes,"Cook Arborio rice slowly in vegetable broth, adding sautéed mushrooms and Parmesan cheese. Stir frequently until creamy."
236,Beef and Ale Pie,Main Course,Beef,British,Baking,30 minutes,90 minutes,Cook beef with onions and ale. Fill a pie crust and bake until crust is golden and filling is thickened.
237,Pasta Primavera,Main Course,Pasta,Italian,Sautéing,15 minutes,20 minutes,Cook pasta and toss with a variety of sautéed vegetables and a light olive oil or tomato sauce. Garnish with Parmesan cheese.
239,Avocado Smoothie,Snack,Avocado,American,Blending,5 minutes,0 minutes,Blend avocado with milk or yogurt and a touch of honey until smooth. Serve chilled.
240,Banana Smoothie,Snack,Bananas,American,Blending,5 minutes,0 minutes,Blend bananas with milk and a touch of honey until smooth. Serve chilled.
242,Quinoa Salad,Appetizer,Quinoa,Mediterranean,Assembling,10 minutes,0 minutes,"Mix cooked quinoa with diced cucumbers, tomatoes, feta cheese, and olives. Drizzle with olive oil and lemon juice."
243,Chicken Tenders,Main Course,Chicken,American,Frying,15 minutes,15 minutes,Bread and fry chicken strips until crispy. Serve with dipping sauce or on a salad.
244,Roasted Vegetables,Side Dish,Vegetables,American,Roasting,10 minutes,30 minutes,Toss chopped vegetables with olive oil and seasonings. Roast in the oven until tender and caramelized.
245,Chia Seed Pudding,Dessert,Chia Seeds,American,Chilling,10 minutes,4 hours,Mix chia seeds with milk or almond milk and sweetener. Refrigerate until thickened. Serve with fresh fruit.
246,Sweet Potato Fries,Side Dish,Sweet Potatoes,American,Baking,10 minutes,30 minutes,Cut sweet potatoes into fries and toss with olive oil and seasonings. Bake until crispy and golden.
247,Chicken and Rice Soup,Appetizer,Chicken,American,Simmering,15 minutes,30 minutes,"Simmer chicken with rice, vegetables, and broth. Season to taste and serve hot."
248,Lemon Bars,Dessert,Lemons,American,Baking,15 minutes,30 minutes,"Mix lemon juice, sugar, and eggs with flour and bake until set. Dust with powdered sugar before serving."
250,Vegetable Frittata,Breakfast,Vegetables,American,Baking,10 minutes,30 minutes,Mix eggs with sautéed vegetables and cheese. Bake until set and lightly browned. Serve warm.
251,Beef Chili,Main Course,Beef,American,Simmering,15 minutes,45 minutes,"Cook ground beef with onions, tomatoes, and chili spices. Simmer until thickened. Serve with cornbread or rice."
253,Spicy Tuna Sushi Rolls,Appetizer,Tuna,Japanese,Rolling,30 minutes,30 minutes,Mix tuna with spicy mayo and roll with sushi rice and nori. Slice into bite-sized pieces and serve with soy sauce and pickled ginger.
255,Baked Macaroni and Cheese,Main Course,Pasta,American,Baking,15 minutes,45 minutes,"Mix cooked macaroni with a cheese sauce made from cheddar, milk, and butter. Bake until bubbly and golden brown."
257,Chicken Tortilla Soup,Appetizer,Chicken,Mexican,Simmering,10 minutes,30 minutes,"Cook chicken with tomatoes, beans, and spices. Top with tortilla strips and garnish with cilantro and lime."
